,Q2,Q3,Q4,rawData
360,1184,NaN,NaN,NaN
361,732,NaN,NaN,NaN
362,786,NaN,NaN,NaN
363,1050,NaN,NaN,NaN
364,1184,NaN,NaN,NaN
365,825,NaN,NaN,NaN
366,735,NaN,NaN,NaN
367,926,NaN,NaN,NaN
368,827,NaN,NaN,NaN
369,781,NaN,NaN,NaN
370,953,NaN,NaN,NaN
371,1088,NaN,NaN,NaN
372,742,NaN,NaN,NaN
373,1552,NaN,NaN,NaN
374,733,NaN,NaN,NaN
375,829,NaN,NaN,NaN
376,839,NaN,NaN,NaN
377,737,NaN,NaN,NaN
